ACCNT_ID|ADDR_TYPE_CD|ADDR_PER_ID|CONTACT_ID|DB_LAST_UPD|DB_LAST_UPD_SRC|END_DT|LAST_UPD|MODIFICATION_NUM|START_DT|X_A_L_INTENTION_DE
1-16T3W|Principale|1-7O08||2008-08-08 15:22:51.710000000|ScriptingBusComp_WriteRecord|2008-08-07 00:00:00|2008-08-08 15:22:50|2|2008-08-07 00:00:00|
|Principale|1-7O08|1-16T78|2008-09-18 15:23:32.573000000|ScriptingBusComp_WriteRecord|2008-09-17 00:00:00|2008-09-18 15:23:31|2|2008-08-07 00:00:00|
|Principale|1-17K5T|1-17K6C|2008-08-08 13:10:08.377000000|ScriptingService_PreInvokeMethod||2008-08-08 13:10:07|1|2008-08-08 00:00:00|
|Principale|1-7O08|1-18GK6|2008-08-19 10:41:52.997000000|ScriptingService_PreInvokeMethod||2008-08-19 10:41:52|3|2008-08-19 00:00:00|
